country,year,age,sex,qx,,,,,
Australia,1994,79,female,0.04457,,,,,
Australia,1994,80,female,0.05162,,,,,
Australia,1994,81,female,0.05836,,,,,
Australia,1994,82,female,0.06368,,,,,
Australia,1994,83,female,0.07201,,,,,
Australia,1994,84,female,0.0809,,,,,
Australia,1994,85,female,0.08739,,,,,
Australia,1994,86,female,0.10117,,,,,
Australia,1994,87,female,0.10938,,,,,
Australia,1994,88,female,0.12295,,,,,
Australia,1994,89,female,0.14456,,,,,
Australia,1994,90,female,0.15494,,,,,
Australia,1994,91,female,0.1637,,,,,
Australia,1994,92,female,0.19328,,,,,
Australia,1994,93,female,0.20216,,,,,
Australia,1994,94,female,0.22158,,,,,
Australia,1994,95,female,0.24227,,,,,
Australia,1994,96,female,0.26251,,,,,
Australia,1994,97,female,0.28332,,,,,
Australia,1994,98,female,0.30453,,,,,
Australia,1994,99,female,0.32597,,,,,
Australia,1994,100,female,0.34748,,,,,
Australia,1994,101,female,0.36888,,,,,
Australia,1994,102,female,0.38997,,,,,
Australia,1994,103,female,0.41062,,,,,
Australia,1994,104,female,0.43065,,,,,
Australia,1994,105,female,0.44995,,,,,
Australia,1994,106,female,0.46839,,,,,
Australia,1994,107,female,0.48589,,,,,
Australia,1994,108,female,0.50239,,,,,
Australia,1994,109,female,0.51785,,,,,
Australia,1994,110,female,1,,,,,
Australia,1995,0,female,0.0051,,,,,
Australia,1995,1,female,0.00052,,,,,
Australia,1995,2,female,0.00028,,,,,
Australia,1995,3,female,0.00024,,,,,
Australia,1995,4,female,0.00017,,,,,
Australia,1995,5,female,0.00018,,,,,
Australia,1995,6,female,0.00014,,,,,
Australia,1995,7,female,0.00016,,,,,
Australia,1995,8,female,0.00013,,,,,
Australia,1995,9,female,0.00017,,,,,
Australia,1995,10,female,0.00013,,,,,
Australia,1995,11,female,0.00015,,,,,
Australia,1995,12,female,0.0002,,,,,
Australia,1995,13,female,0.00021,,,,,
Australia,1995,14,female,0.00018,,,,,
Australia,1995,15,female,0.00016,,,,,
Australia,1995,16,female,0.00032,,,,,
Australia,1995,17,female,0.00031,,,,,
Australia,1995,18,female,0.00056,,,,,
Australia,1995,19,female,0.00035,,,,,
Australia,1995,20,female,0.00046,,,,,
Australia,1995,21,female,0.00038,,,,,
Australia,1995,22,female,0.0004,,,,,
